productoid,nombre,referencia,ean13,ingreso,costo,contribucion,ventana_dias,servidor_sync
"026311","VICK DROPS 1U PASTILLAS SURTIDA PROCTERFARMA CJAX125U","200045076","7500435243292",12000.0000,2417.6140,9582.3860,30,"192.168.123.231"
"026690","SERVILLETA ROSAL 100U NAPKINS DIARIAS","","7702120010381",11970.0000,7056.0938,4913.9062,30,"192.168.123.231"
"007639","CUCHARA DARNEL 20U SOPERA","","645667176899",11960.0000,10097.4144,1862.5856,30,"192.168.123.231"
"010040","DESODORANTE SPEED STICK CREMA 100G CLINICAL COMPLETE","200041720","7509546668666",11950.0000,7139.0000,4811.0000,30,"192.168.123.231"
"026820","HALLS STRONG 24.7G 1U CJAX12U","200005291","7622202015205",11940.0000,8938.1424,3001.8576,30,"192.168.123.231"
"029740","CUADERNO SCRIBE 100H COSIDO CUADRICULADO PASTA DURA FEMENINO","","7707668553437",11900.0000,9000.0000,2900.0000,30,"192.168.123.231"
"020015","CHOCOLATINA SNICKERS 50G BARRA","200024526","0040000514251",11900.0000,7989.2242,3910.7758,30,"192.168.123.231"
"002057","BOMBON BUM COLOMBINA SURTIDO 24U","","7702011242570",11900.0000,7790.5329,4109.4671,30,"192.168.123.231"
"018696","ACONDICIONADOR SAVITAL 100ML MULTIVITAMINAS","200038084","7702006202824",11850.0000,8298.0000,3552.0000,30,"192.168.123.231"
"029906","HIDRAPLUS 75 HIDRATANTE 400ML ZINC MANZANA","100027052","7702057015428",11800.0000,9534.9733,2265.0267,30,"192.168.123.231"
"029909","HIDRAPLUS 75 HIDRATANTE 400ML ZINC CEREZA","100020803","7702057010874",11800.0000,9428.9300,2371.0700,30,"192.168.123.231"
"029907","HIDRAPLUS 75 HIDRATANTE 400ML ZINC UVA","100020802","7702057010928",11800.0000,9406.5200,2393.4800,30,"192.168.123.231"
"027219","MANI LA ESPECIAL 40G LIMON PIMIENTA","","7702007059892",11800.0000,8089.8880,3710.1120,30,"192.168.123.231"
"030564","BOMBON BUM COLOMBINA 432G LIMONADA PINK 24U","","7702011169396",11800.0000,7784.9666,4015.0334,30,"192.168.123.231"
"004374","VASO VAR 3.3 OZ 50U","","7702251012971",11800.0000,7614.4024,4185.5976,30,"192.168.123.231"
"023875","CEFAFLEX 500MG 10TAB CJAX100TAB","023875","7707019378788",11750.0000,6460.0000,5290.0000,30,"192.168.123.231"
"027033","PAÑITOS PEQUEÑIN 24U HUMEDOS ALMENDRA","200043977","7702026147594",11700.0000,8373.0000,3327.0000,30,"192.168.123.231"
"005625","SALSA PIÑA CONSTANCIA 200G DOYPACK","","7702097039774",11700.0000,8065.3320,3634.6680,30,"192.168.123.231"
"017092","GUANTES COORATIENDAS DOMESTICO T7 1/2 AMARILLO","","7703672017071",11700.0000,8001.8106,3698.1894,30,"192.168.123.231"
"024161","ESPONJA COORATIENDAS ORO PLATA","","7703672017538",11700.0000,7976.4948,3723.5052,30,"192.168.123.231"
"020114","GAL NOEL CJA 200G SUTA NAVIDAD","20114","7702025150199",11700.0000,7588.0000,4112.0000,30,"192.168.123.231"
"016956","DOLIVIUM FEM 3CAP 1SBS 400MG ICOM CJAX18SBS","100024024","7704768002049",11700.0000,6067.0078,5632.9922,30,"192.168.123.231"
"001944","VASO TAMI 7.OZ 25U","","7702458001938",11700.0000,5704.6275,5995.3725,30,"192.168.123.231"
"010022","PULPIFRUTAS 200GR","","7702354015565",11700.0000,5462.0000,6238.0000,30,"192.168.123.231"
"013558","CHOCOLATE CHOCOLYNE 120G CLASICO SIN ENDULZANTE","","7702007077841",11650.0000,9325.9779,2324.0221,30,"192.168.123.231"
"003591","AGUA MANANTIAL 600ML","","7702609005372",11600.0000,9919.9738,1680.0262,30,"192.168.123.231"
"029235","SNACKS KLIM 15G","29235","7702024539933",11600.0000,9732.0000,1868.0000,30,"192.168.123.231"
"014037","NOXPIRIN ADULTOS 1SBS AD DIA SIEGFRIED CJAX24SBS","100017154","7707355053424",11600.0000,9581.7780,2018.2220,30,"192.168.123.231"
"026099","MUU CHOCOLATE 204G 6U","","7702011201515",11600.0000,8276.0800,3323.9200,30,"192.168.123.231"
"004339","TONING 250G SOYA NATURAL POLVO","","7702622624109",11600.0000,8211.7131,3388.2869,30,"192.168.123.231"
"018731","LIMPIA PISO SANPIC 1LT","","7702626216782",11600.0000,7597.8485,4002.1515,30,"192.168.123.231"
"028305","CHICHARRON SOYA 30G","","606110945486",11500.0000,9477.7636,2022.2364,30,"192.168.123.231"
"027730","HARINA KARAVAN AVENA 454G","","7709768133472",11500.0000,9295.7997,2204.2003,30,"192.168.123.231"
"027141","CUADERNO PRIMAVERA 105/80H ARGOLLADO CUADRICULADO PASTA DURA MASCULINO","","7707898692609",11500.0000,9078.3600,2421.6400,30,"192.168.123.231"
"025309","GAL MILO ANILLO 455G P12LL14","12511436","7702024938712",11500.0000,8478.0000,3022.0000,30,"192.168.123.231"
"027147","CHOC M&M MILK CHOCOLATE 48G","200017832","0040000514480",11500.0000,7990.0000,3510.0000,30,"192.168.123.231"
"002829","SANREMO FIDEOS 250G PACX24U","","7702020040105",11500.0000,6579.1984,4920.8016,30,"192.168.123.231"
"022174","CUCHARON NESSIE DINOSAURIO","","7702073605030",11500.0000,6567.1600,4932.8400,30,"192.168.123.231"
"027301","PAPEL HIGIENICO FAMILIA 65USO ACOLCHAMAX MEGAROLLO 1U PACX48","200042794","1770202614747",11500.0000,6493.4894,5006.5106,30,"192.168.123.231"
"000402","IBUPROFENO 600MG 10TAB MK CJAX50TAB","100005876","7702057716479",11500.0000,6212.1841,5287.8159,30,"192.168.123.231"
"017624","LAVA PLATOS REY 450G 2U","","7702166013742",11500.0000,5905.9100,5594.0900,30,"192.168.123.231"
"011049","CREMA SAVITAL 275ML PEINAR ACEITE ARGAN Y SABILA","200034443","7702006299350",11450.0000,10651.9144,798.0856,30,"192.168.123.231"
"013640","EYE TEARS 1.4% GOTAS 15ML ICOM","100025254","7704768001592",11450.0000,4498.9900,6951.0100,30,"192.168.123.231"
