REF,UNIDAD,MEDIDA,CANTIDAD
8068,FCO,Mililitro,450
20045,BOT,Mililitro,500
10054,FCO,Mililitro,600
3591,UND,Mililitro,500
15078,BOT,Mililitro,600
20484,UND,Mililitro,100
27372,UND,Mililitro,100
19108,FCO,Mililitro,400
19936,OFE,Mililitro,600
3489,FCO,Mililitro,120
6604,FCO,Mililitro,120
4644,FCO,Mililitro,120
18028,BOT,Mililitro,1000
18027,BOT,Mililitro,1000
20319,UND,Mililitro,600
13352,FCO,Mililitro,600
13353,FCO,Mililitro,600
13354,FCO,Mililitro,600
27171,UND,Gramo,590
21574,BOT,Mililitro,1500
20129,BOT,Mililitro,600
21576,FCO,Mililitro,540
19816,FCO,Mililitro,540
19815,FCO,Mililitro,540
25943,UND,Mililitro,1000
6590,BOT,Mililitro,180
22311,BOT,Mililitro,750
24484,OFE,Mililitro,1005
16848,BOT,Mililitro,1000
6654,UND,Mililitro,250
5152,BOT,Mililitro,375
16849,FCO,Mililitro,375
10226,BOT,Gramo,375
5827,BOT,Mililitro,750
16850,FCO,Mililitro,750
15390,BOT,Mililitro,750
23998,UND,Mililitro,1000
24243,UND,Mililitro,500
4268,BOT,Mililitro,375
11100,BOT,Mililitro,375
2334,BOT,Mililitro,750
8362,CJA,Mililitro,250
9712,BOT,Mililitro,375
7760,BOT,Mililitro,170
4979,UND,Mililitro,250
4363,BOT,Mililitro,375
4428,BOT,Mililitro,750
4750,UND,Mililitro,1000
15567,UND,Mililitro,750
2335,UND,Mililitro,1000
2333,UND,Mililitro,250
139,KLS,Gramo,1000
26329,CJA,Gramo,5
8065,FCO,Mililitro,500
8103,FCO,Mililitro,500
25958,UND,Gramo,50
26017,FCO,Gramo,1000
26016,FCO,Gramo,500
23536,UND,Gramo,100
23559,FCO,Gramo,300
23534,FCO,Gramo,4000
23581,FCO,Mililitro,1000
23558,FCO,Gramo,500
23537,UND,Gramo,50
25455,FCO,Gramo,1000
25452,FCO,Gramo,110
25453,FCO,Gramo,245
25454,FCO,Gramo,450
19378,FCO,Gramo,1000
19380,FCO,Gramo,100
19377,FCO,Gramo,245
19383,FCO,Gramo,500
19379,FCO,Gramo,50
25376,FCO,Gramo,1000
25401,FCO,Gramo,100
25378,FCO,Gramo,250
25377,FCO,Gramo,500
25562,FCO,Gramo,50
25927,FCO,Gramo,1000
25900,UND,Gramo,100
25852,FCO,Gramo,250
25850,FCO,Gramo,4000
25851,FCO,Gramo,500
23705,UND,Gramo,50
23542,FCO,Gramo,100
23541,FCO,Gramo,300
23540,FCO,Gramo,500
23543,FCO,Gramo,50
25450,FCO,Gramo,1000
25447,FCO,Gramo,110
25448,FCO,Gramo,245
25451,FCO,Gramo,4000
25449,FCO,Gramo,450
21037,FCO,Gramo,1000
21144,FCO,Gramo,100
19381,FCO,Gramo,245
23758,FCO,Gramo,4000
21038,FCO,Gramo,500
25334,FCO,Gramo,1000
25337,FCO,Gramo,100
25336,FCO,Gramo,250
25288,FCO,Gramo,4000
25335,FCO,Gramo,500
25347,UND,Gramo,50
21029,UND,Gramo,250
4057,UND,Gramo,200
20113,CJA,Mililitro,100
7231,FCO,Mililitro,3
26438,FCO,Mililitro,20
6280,CJA,Gramo,200
6281,FCO,Gramo,400
11430,UND,Gramo,322
7396,FCO,Mililitro,120
149,KLS,Gramo,1000
8502,FCO,Gramo,125
12876,FCO,Gramo,250
8503,FCO,Gramo,60
3173,UND,Gramo,125
2813,UND,Gramo,60
14071,FCO,Mililitro,130
14093,FCO,Mililitro,350
14072,FCO,Mililitro,700
16488,FCO,Mililitro,130
6605,FCO,Mililitro,130
22969,FCO,Mililitro,3800
4779,FCO,Mililitro,350
16489,FCO,Mililitro,350
4690,FCO,Mililitro,700
16490,FCO,Mililitro,700
3490,FCO,Mililitro,375
21116,TAR,Mililitro,1000
21117,BOT,Mililitro,3800
21532,FCO,Mililitro,2000
21273,FCO,Mililitro,3800
20884,BOT,Gramo,750
5728,FCO,Mililitro,120
3753,FCO,Mililitro,350
3754,FCO,Mililitro,700
11981,FCO,Gramo,375
20997,FCO,Mililitro,120
20995,FCO,Mililitro,350
20996,FCO,Mililitro,700
21238,BSA,Gramo,1000
21240,FCO,Mililitro,1000
9722,BOT,Gramo,20
20774,FCO,Mililitro,250
21241,FCO,Mililitro,250
6526,FCO,Mililitro,3800
20775,BSA,Mililitro,700
21239,BSA,Mililitro,700
6559,FCO,Mililitro,900
21282,FCO,Mililitro,1000
5895,UND,Mililitro,81
20039,CJA,Mililitro,60
12476,FCO,Mililitro,480
8389,PAQ,Mililitro,1200
6986,PAQ,Gramo,250
3901,UND,Gramo,50
6066,UND,Gramo,25
18782,PAQ,Mililitro,1200
27419,UND,Gramo,100
26244,UND,Gramo,170
26245,UND,Gramo,170
15362,UND,Mililitro,340
25405,PAQ,Gramo,100
24155,PAQ,Mililitro,1020
21934,PAQ,Gramo,100
18230,PAQ,Mililitro,400
21582,PAQ,Gramo,100
6571,OFE,Gramo,720
19434,PAQ,Gramo,1140
15216,PAQ,Mililitro,1140
8334,PAQ,Mililitro,1200
13487,UND,Gramo,1750
14932,OFE,Mililitro,606
9872,OFE,Gramo,202
16315,OFE,Gramo,1140
7039,FCO,Mililitro,106
7678,FCO,Mililitro,150
8057,FCO,Mililitro,360
7212,FCO,Mililitro,150
21148,UND,Gramo,90
2843,UND,Gramo,100
16987,UND,Mililitro,976
16988,UND,Mililitro,976
20120,FCO,Mililitro,200
26420,UND,Mililitro,400
8664,FCO,Mililitro,360
6439,CJA,Gramo,100
7295,CJA,Gramo,100
6370,BSA,Mililitro,1100
5810,PAQ,Mililitro,7800
21485,BSA,Mililitro,1300
13645,PAQ,Mililitro,7800
20865,BSA,Mililitro,1100
18514,PAQ,Mililitro,6600
16404,PAQ,Mililitro,4000
3601,UND,Mililitro,1000
18515,PAQ,Mililitro,6600
21486,BSA,Mililitro,1300
8307,PAQ,Mililitro,7800
20350,OFE,Gramo,200
7428,UND,Gramo,180
17327,OFE,Mililitro,1080
19939,BSA,Mililitro,1620
22784,PAQ,Mililitro,1200
14522,PAQ,Mililitro,1200
